date;heure;dept;ville;CP;adresse;adresse complete;carr;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh;wgs84
2013-02-04;14:30;75;Paris;75001;12, QUAI FRANCOIS MITTER;12, QUAI DES TUILERIES;1_75101_5180;QUAI DES TUILERIES;PLACE DU CARROUSEL;PL<=7,5;A;VL;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;;48.860793, 2.330544
2012-01-19;08:15;75;Paris;75001;14, RUE DE TURBIGO;14, RUE DE TURBIGO;1_75101_6945;RUE DE TURBIGO;RUE ETIENNE MARCEL;Scoo<=50;A;VL;B;;;Cond;Indem;B;Cond;BL;A;;;;;;;48.863676, 2.348702
2012-03-07;15:25;75;Paris;75001;26, AVENUE DE L OPERA;26, AVENUE DE L OPERA;1_75101_5208;AVENUE DE L OPERA;RUE DES PETITS CHAMPS;VL;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.867079, 2.334068
2013-02-09;15:30;75;Paris;75001;194, RUE DE RIVOLI;194, RUE DE RIVOLI;1_75101_5059;RUE DE RIVOLI;AVENUE GENERAL LEMONNIER;Scoo50-125;A;Bicy;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.863995, 2.331651
2012-04-01;15:55;75;Paris;75001;199, RUE SAINT HONORE;199, RUE SAINT HONORE;1_75101_5046;RUE SAINT HONORE;RUE SAINT ROCH;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.864866, 2.331916
2012-03-14;16:15;75;Paris;75001;208, RUE DE RIVOLI;208, RUE DE RIVOLI;1_75101_4888;RUE DE RIVOLI;RUE DU VINGT NEUF JUILLET;Bicy;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.86425, 2.330753
2012-04-17;15:55;75;Paris;75001;259, RUE SAINT HONORE;259, RUE SAINT HONORE;;RUE SAINT HONORE;;Scoo<=50;A;VL;B;;;Cond;Indem;B;Cond;BL;A;;;;;;;48.867292, 2.326433
2013-04-20;15:06;75;Paris;75001;194 BIS, RUE DE RIVOLI;194 BIS, RUE DE RIVOLI;1_75101_4994;RUE DE RIVOLI;RUE SAINT ROCH;VL;A;;;;;Cond;Indem;A;Troll;BL;A;;;;;;;48.864126, 2.331238
2012-12-21;18:40;75;Paris;75001;BOULEVARD DE LA MADELEIN;BOULEVARD DE LA MADELEINE;1_75101_4687;BOULEVARD DE LA MADELEINE;RUE CAMBON;Scoo50-125;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.869669, 2.326581
2012-07-15;04:45;75;Paris;75001;PLACE DU CHATELET;PLACE DU CHATELET;1_75101_6724;PLACE DU CHATELET;RUE VICTORIA;VL;Z;;;;;Piéton;BL;Z;;;;;;;;;;48.857431, 2.347616
2013-01-18;17:40;75;Paris;75001;QUAI DES TUILERIES;QUAI DES TUILERIES;;QUAI DES TUILERIES;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.860793, 2.330544
2013-07-07;17:25;75;Paris;75001;QUAI DES TUILERIES;QUAI DES TUILERIES;;QUAI DES TUILERIES;;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.860793, 2.330544
2013-10-31;12:15;75;Paris;75001;RUE DE L AMIRAL DE COLIG;RUE DE L AMIRAL DE COLIGNY;1_75101_5865;RUE DE L AMIRAL DE COLIGNY;PLACE DU LOUVRE;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.859954, 2.340353
2012-06-03;19:30;75;Paris;75002;3, PLACE DE L OPERA;3, PLACE DE L OPERA;1_75102_5066;PLACE DE L OPERA;RUE DE LA PAIX;VL;A;Scoo>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.870343, 2.331986
2013-06-05;16:45;75;Paris;75002;4, PLACE DE L OPERA;4, PLACE DE L OPERA;1_75102_5093;PLACE DE L OPERA;AVENUE DE L OPERA;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;;48.870445, 2.33283
2013-03-06;06:30;75;Paris;75002;6, RUE DES PETITS CHAMP;6, RUE DES PETITS CHAMPS;1_75102_5762;RUE DES PETITS CHAMPS;GALERIE COLBERT;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.866353, 2.338883
